row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_03_BB_10mM.mzML Peak height,20260428_CVOL_Group_03_IAA_50uM.mzML Peak height,20260428_CVOL_Group_03_Pt_1A_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_1A_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_1B_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_1B_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_2A_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_2A_20m.mzML Peak height,20260428_CVOL_Group_03_Pt_2B_0m.mzML Peak height,20260428_CVOL_Group_03_Pt_2B_20m.mzML Peak height,20260428_CVOL_Group_03_QC_01.mzML Peak height,20260428_CVOL_Group_03_QC_02.mzML Peak height,20260428_CVOL_Group_03_QC_03.mzML Peak height,20260428_CVOL_Group_03_QC_04.mzML Peak height,20260428_CVOL_Group_03_QC_05.mzML Peak height,20260428_CVOL_Group_03_QC_06.mzML Peak height,20260428_CVOL_Group_03_bl.mzML Peak height,20260428_CVOL_Group_03_wt_1A_0m.mzML Peak height,20260428_CVOL_Group_03_wt_1A_20m.mzML Peak height,20260428_CVOL_Group_03_wt_1B_0m.mzML Peak height,20260428_CVOL_Group_03_wt_1B_20m.mzML Peak height,20260428_CVOL_Group_03_wt_2A_0m.mzML Peak height,20260428_CVOL_Group_03_wt_2A_20m.mzML Peak height,20260428_CVOL_Group_03_wt_2B_0m.mzML Peak height,20260428_CVOL_Group_03_wt_2B_20m.mzML Peak height,20260428_CVOL_bk_mapp_pre_01.mzML Peak height,
11,1030.2910691548204,0.47258475,,,,,,,,,,,0,0,1424613.0,984736.44,1121792.8,1735575.4,1384220.9,766354.94,1157403.8,2074258.1,0,0,0,0,0,0,0,2569514.2,959371.1,1644612.4,3141563.2,2207376.2,1988813.0,1101280.0,1014464.5,0,
12,1016.2388881803696,0.47198203,,,,,,,,,,,0,0,1824877.5,1196192.8,1242380.8,1900898.6,1616295.8,982430.1,1458282.4,2249922.2,0,0,0,0,0,0,0,2667903.8,1154367.9,1649851.1,3973774.2,2502556.8,2279186.5,1199639.9,994595.5,0,
13,882.2534100947242,0.47269893,,,,,,,,,,,0,0,2018299.1,1009999.6,1264823.4,2015632.9,1748831.4,1084691.1,1354417.4,2277011.8,0,0,0,0,0,0,0,2733181.5,1227394.8,1941426.4,4352291.0,2464535.0,2377995.2,1230300.9,1126656.4,0,
14,1031.2922065490893,0.4705776,,,,,,,,,,,0,0,1490428.6,913005.2,1155966.0,1776738.0,1405947.1,731819.1,1058303.4,2195045.8,0,0,0,0,0,0,0,2488498.0,964197.44,1447456.5,3102952.5,2136532.8,2038074.0,1070516.0,978917.6,0,
15,1079.2554691144285,0.47270048,,,,,,,,,,,0,0,3113177.0,1760451.2,2172090.8,3234477.2,2636911.0,1667708.6,2319201.5,3680530.0,0,0,0,0,0,0,0,4583898.5,1887002.9,2923274.0,7194189.0,3990202.0,3844762.8,2020932.9,1534154.4,0,
16,1004.2355402681873,0.4729727,,,,,,,,,,,0,0,3370642.8,1804684.4,2143828.5,3333791.5,2838889.5,1697823.6,2285041.2,3745980.0,0,0,0,0,0,929716.8,0,4510321.5,1956733.6,3087713.2,8206382.5,4111722.2,3846672.8,1924200.6,1473305.6,0,
17,1078.2546417968383,0.47339135,,,,,,,,,,,0,0,2997004.0,1752468.5,2235292.8,3233898.0,2564288.5,1533748.6,2347227.2,3790965.2,0,0,0,0,0,0,0,4369536.0,1794533.2,2952656.5,6730583.5,4150038.2,3583619.8,1911337.0,1556061.5,0,
18,507.5329796403119,0.48327267,,,,,,,,,,,734053.4,3.4619692E7,1.1397601E7,1.1954698E7,9713297.0,1.0472677E7,9794491.0,1.1369586E7,1.1747702E7,1.5139003E7,3088399.2,2955548.5,3296372.2,2934624.2,1.0133584E7,3405537.8,3.798957E7,1.7954788E7,1.2737719E7,2.0010084E7,7571633.0,1.611879E7,1.3509163E7,9071083.0,1.2741904E7,0,
19,1017.2397461404225,0.47127488,,,,,,,,,,,0,0,1838377.0,1071312.1,1312171.8,2166913.8,1529924.2,899110.94,1365509.4,2364631.5,0,0,0,0,0,0,0,2569163.0,1114641.4,1595563.2,4211217.5,2607897.8,2324669.5,1293649.5,1021993.56,0,
20,942.2202282139034,0.47478074,,,,,,,,,,,0,0,2547788.2,1372730.9,1803605.8,2579317.8,2332335.8,1385380.6,1906129.5,3084041.8,0,0,0,0,0,0,0,3713730.0,1574840.6,2426680.2,6126410.5,3404577.5,3082772.0,1559762.5,1195296.0,0,
21,868.201648364418,0.47600025,,,,,,,,,,,0,0,1697514.8,810433.5,1143045.0,1859197.2,1602855.0,962236.9,1163753.6,2060393.1,0,0,0,0,0,0,0,2405087.5,1122924.9,1675298.2,4277929.0,2223817.2,2019193.1,1278377.1,0,0,
22,534.561093067698,0.47702056,,,,,,,,,,,0,1516600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043843.5,0,0,0,0,0,0,0,0,0,
23,670.467834134164,0.4858891,,,,,,,,,,,0,5599995.5,0,1280381.1,547043.25,0,0,0,0,1367291.5,0,0,0,0,0,0,7855307.5,0,0,0,0,0,569095.25,0,0,0,
24,870.5657363378706,0.47242948,,,,,,,,,,,0,0,1023963.0,0,1047108.0,985661.7,845059.5,956753.3,1064851.5,0,0,0,0,0,0,0,0,1181678.9,919733.4,1131152.2,958142.25,925565.2,0,0,892606.75,0,
25,998.2878416771721,0.47881782,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,741340.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276554.8,
26,1072.3081364370275,0.47780108,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887816.2,
27,531.2742173005103,0.49716985,,,,,,,,,,,0,994598.94,0,603874.0,0,0,0,0,0,0,0,0,0,0,0,0,2446890.2,0,0,0,0,0,0,0,0,0,
28,850.2511483042055,0.47704998,,,,,,,,,,,699236.25,741298.44,0,1136241.8,606864.7,905036.25,1262712.6,0,602404.5,1167711.9,1895438.2,1468271.9,1760242.9,1496768.9,994095.2,0,1089311.8,0,938832.3,0,0,987785.0,1366623.8,998271.9,0,2824223.5,
29,924.2697306016513,0.47469196,,,,,,,,,,,0,0,0,820986.44,0,647495.75,938232.5,0,0,661483.6,1195502.6,0,1336957.8,926582.5,757957.44,857972.06,846470.0,0,564651.7,0,0,707285.5,790717.2,656371.7,0,1817848.0,
30,930.2169336426333,0.47826484,,,,,,,,,,,0,0,1694357.0,786314.9,1140039.6,1846189.5,1607358.5,1077448.8,1165074.5,1986879.9,0,0,0,0,0,0,0,2398357.8,950468.9,1617272.0,4470248.5,2189225.8,2011322.9,1213717.5,0,0,
31,869.2028668234141,0.47379097,,,,,,,,,,,0,0,1435688.2,756357.3,1034756.1,1419085.9,1456572.1,719899.7,968039.0,1641056.6,0,0,0,0,0,0,0,1925098.9,806195.56,1611497.2,3674874.8,1860895.8,1804694.5,901661.6,0,0,
32,505.5173724944855,0.48661545,,,,,,,,,,,0,1.904758E7,1.0659905E7,1.2324682E7,1.1456413E7,1.1070274E7,1.0291858E7,1.078489E7,1.1457261E7,1.3704954E7,3175862.5,2575595.5,3435251.8,2989620.5,2684959.8,4359590.0,2.465576E7,1.3590075E7,1.4977847E7,1.5155532E7,8637296.0,1.2820984E7,1.35826E7,1.0750658E7,1.3382676E7,0,
33,480.51487235348344,0.48801094,,,,,,,,,,,0,3522319.5,878836.56,827115.4,608021.4,816723.6,839520.1,0,971168.6,1145942.0,0,0,0,0,0,0,3132968.2,1084577.8,1116975.2,1074486.4,0,1104777.5,987918.3,736544.25,1190032.8,0,
34,506.5296075271677,0.4847022,,,,,,,,,,,2185069.0,9.580921E7,2.8624794E7,2.8641122E7,2.5972622E7,2.7343678E7,2.8492776E7,3.0074712E7,2.8748456E7,3.9823484E7,8676396.0,7067813.5,8155736.0,7763183.0,2.5871544E7,8575468.0,9.4271816E7,4.8782548E7,2.8894796E7,4.985821E7,1.844159E7,3.8783732E7,3.7619476E7,2.5088962E7,3.3168202E7,0,
35,539.1638418197803,0.48358792,,,,,,,,,,,0,0,976285.25,0,774305.9,0,1190705.4,0,0,1038750.94,0,0,0,0,0,687003.06,0,1227148.1,0,0,1041192.7,633177.56,0,0,1091765.4,6220402.5,
36,698.4995320354345,0.48370686,,,,,,,,,,,0,9697753.0,1112483.8,1897982.4,902918.6,0,1025617.1,986410.4,1008787.56,2229826.0,0,0,0,0,0,0,1.1946381E7,935390.8,1174612.9,943337.1,0,1043133.9,1341473.9,1036668.44,0,0,
37,452.48291399803367,0.4909644,,,,,,,,,,,0,1505164.4,0,0,0,0,0,0,0,852001.75,0,0,0,0,0,0,2252583.2,0,0,0,0,0,0,0,858456.44,0,
38,885.5524727702481,0.48526138,,,,,,,,,,,0,0,2985112.8,3375661.0,3552101.5,3284788.2,2293305.8,2984019.5,2923604.8,1916239.9,784389.94,0,1080625.5,915833.9,1018262.6,1326524.1,0,5905209.0,3723414.8,6149290.5,3135607.2,5128759.5,3467030.2,2832899.0,2799643.0,0,
39,504.5139983624483,0.4872259,,,,,,,,,,,0,4.8859096E7,2.586439E7,2.9116484E7,3.0009752E7,2.7391074E7,2.8060832E7,2.9990976E7,2.8706124E7,3.676079E7,8223860.5,6778908.5,8496926.0,8181454.0,7122583.5,1.1537979E7,6.778092E7,3.6334484E7,3.2900328E7,3.726784E7,2.0902818E7,3.4485456E7,3.7238588E7,2.7916682E7,3.4519864E7,0,
40,503.5018208920188,0.48861846,,,,,,,,,,,0,3236335.5,2111498.5,2470433.2,2030781.2,2160160.8,1959256.2,2054612.0,2059297.4,3023927.8,723579.1,0,786408.75,698984.06,0,877628.94,5055515.0,2217967.2,2398309.2,2242782.8,1800581.2,2351681.5,2792105.5,2152117.2,2383514.8,0,
41,223.0633753656885,0.49087614,,,,,,,,,,,0,0,0,630189.7,0,690860.94,718361.3,0,0,870227.5,1462150.5,1059849.0,1094449.6,0,0,913418.25,0,0,0,0,0,0,767231.56,0,0,2217269.2,
42,281.05125268977235,0.49018487,,,,,,,,,,,0,0,0,0,0,0,0,0,0,661652.9,0,0,0,0,0,0,0,0,0,0,0,629090.25,0,0,0,1162051.8,
43,297.08209398619726,0.48739803,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1009817.3,812329.06,788665.7,587052.0,0,597513.5,0,0,0,0,0,0,0,0,0,1756913.8,
44,355.0694577234637,0.48505548,,,,,,,,,,,0,0,0,0,0,0,712801.56,0,0,546958.25,859267.6,0,827248.4,0,0,751217.1,0,0,0,0,0,706890.4,0,0,0,1586383.8,
45,489.12865644708955,0.48884472,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324271.8,
46,478.49847780151174,0.48879606,,,,,,,,,,,0,3604490.2,2052080.8,2583620.0,2637210.8,2545809.5,2405478.5,2375248.0,2565419.5,3191687.8,719281.3,0,0,706858.7,0,0,4790066.0,3059155.0,2817147.8,3228642.0,1582344.0,2815565.0,3257347.8,2372712.8,2955629.2,0,
47,445.11965522029715,0.49057803,,,,,,,,,,,0,0,0,795591.44,0,627798.7,723482.75,0,0,947565.56,1558850.2,1626747.2,1258334.5,0,0,0,0,0,0,0,0,668036.56,829956.06,652919.3,868480.4,2328099.0,
48,502.4983915384558,0.4896808,,,,,,,,,,,0,8656665.0,5102963.0,6812791.0,5523311.5,5400797.5,5567313.5,5665414.0,5581271.0,8557150.0,1808639.9,1456930.9,1799530.6,1672123.9,0,2575143.0,1.3500491E7,5812531.5,6788898.5,5822218.5,4147130.0,6107907.5,7296363.5,5781781.0,6786935.0,0,
49,424.4508998847541,0.48889783,,,,,,,,,,,0,6753201.5,3000378.2,3662830.8,3375596.2,3332133.5,2930594.0,3452907.0,3318594.5,4742254.5,1188570.2,942331.3,1057336.4,870394.0,932044.56,1351872.1,1.0265304E7,3171288.2,3999907.5,3373211.8,2670083.5,3671317.2,4173785.5,3214461.0,4160915.8,0,
50,637.304394259763,0.49081382,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1853650.4,1586484.2,1979319.4,1823481.9,1935280.0,3382059.5,2267310.5,0,0,0,0,0,0,0,0,0,
51,654.3320137581441,0.49485293,,,,,,,,,,,0,0,1082099.5,1237173.1,1502147.4,1278658.6,934065.25,1147547.1,969550.1,1105779.4,4493964.5,4315512.0,5246028.0,4931520.5,5227958.5,8632986.0,5495507.0,0,1069375.4,1558519.1,0,906937.0,0,664770.5,922394.56,0,
52,463.1299165748761,0.49446923,,,,,,,,,,,0,0,0,921183.06,0,0,861975.06,0,0,1062094.2,1494786.5,1282165.0,1263126.5,1227808.0,973131.0,1022629.5,0,0,765263.9,0,0,0,711549.3,706434.8,794746.4,2775939.8,
53,368.38870706373075,0.49294186,,,,,,,,,,,0,2022249.4,1165982.2,1465844.5,1062878.8,1046881.75,997111.7,1075864.1,1047091.94,1789072.1,0,0,0,0,0,0,1992337.2,952955.1,1266572.0,828133.3,812399.0,0,1249147.0,995422.6,1072312.5,0,
54,386.1611592738178,0.49997798,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033316.6,
55,480.1573208233583,0.49997798,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179708.0,
56,871.5730705798497,0.50017726,,,,,,,,,,,0,0,2.2211524E7,1.33037E7,2.6787404E7,2.5764596E7,1.7575732E7,2.228295E7,2.4280472E7,8930447.0,4288219.0,4330932.5,5162047.0,4836837.5,4654698.0,8064084.5,0,4.2535748E7,2.53811E7,4.079287E7,2.6597784E7,4.1841844E7,2.5137742E7,2.1543968E7,2.4212566E7,0,
57,310.30998252972194,0.5196035,,,,,,,,,,,9479925.0,1.4377329E7,7849145.5,8845589.0,1.054572E7,1.0144394E7,1.0323E7,9800787.0,8746287.0,1.0160163E7,5084913.5,5068398.0,4325926.5,4659535.0,5181936.0,6422003.5,1.8320072E7,1.0710929E7,8557213.0,1.0999906E7,9029406.0,1.1260029E7,9583728.0,1.0993123E7,1.1613585E7,0,
58,284.28466160886217,0.5245827,,,,,,,,,,,1.747069E7,2.2341354E7,1.3624776E7,1.3567749E7,1.6117592E7,1.4647833E7,1.5030662E7,1.6802932E7,1.3577865E7,1.5204917E7,8880518.0,9091736.0,8231844.0,8060048.0,1.011469E7,1.1273769E7,2.9575858E7,1.706322E7,1.4295441E7,1.5951632E7,1.3630733E7,1.825893E7,1.5388707E7,1.4961172E7,1.7526548E7,0,
59,284.293624093533,0.52068716,,,,,,,,,,,6160825.0,8865301.0,6472522.5,6927299.0,7852963.0,7605169.0,7967490.5,7486427.5,7042721.0,7720358.0,4266300.5,4604054.0,3741986.0,4075256.5,5068953.5,5565390.5,1.1148874E7,8668959.0,6431512.5,8160867.0,7084933.5,9153129.0,7012411.0,7838903.5,9378065.0,0,
60,296.29429902597263,0.52236307,,,,,,,,,,,4352322.5,6897029.0,3613074.8,4249431.5,5068562.5,4740595.0,4479624.0,4509304.0,3962528.5,4364455.5,2298779.2,2324227.0,2014327.5,2135875.5,2258983.0,2641469.0,8675208.0,4788762.0,3986275.2,4988494.0,4042118.0,5204986.5,4252304.0,4867646.0,4944437.5,0,
61,414.32140500870867,0.52266204,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678296.2,0,0,
62,458.34778756116657,0.51958907,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661102.7,0,4829545.5,0,0,
63,502.37404465283055,0.52266204,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171350.5,0,0,
64,398.2407877722064,0.52360016,,,,,,,,,,,0,0,3684181.2,5581629.5,5087139.5,8541412.0,3866773.2,5230374.0,6675201.0,3635378.2,9077088.0,8236762.5,8151637.5,8905465.0,1.2135588E7,1.4059713E7,0,3928076.0,3537059.2,6674683.5,1466864.6,3553479.8,2991810.8,2407124.8,3343664.5,0,
65,768.5367643830923,0.523932,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.2810304E7,4.8900988E7,3.1800874E7,3.7682028E7,4.4890572E7,5.5963124E7,0,0,0,0,0,0,0,0,0,0,
66,563.5510813774546,0.5240422,,,,,,,,,,,1.3048241E7,2.1217872E7,8781492.0,1.0683936E7,9978011.0,9928155.0,1.2078703E7,9946130.0,9001449.0,1.2368617E7,4806129.0,6066236.0,4203224.0,4475564.5,4983928.5,6082216.0,2.2139712E7,1.1454423E7,1.0046581E7,1.1205366E7,8948219.0,1.2273211E7,1.1025453E7,1.1327141E7,1.0694318E7,0,
67,773.4921255546915,0.5242927,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2883336.5,3198970.5,2221343.8,2615200.2,4690885.5,5740400.0,0,0,0,0,0,0,0,0,0,0,
68,376.25915551679003,0.5249083,,,,,,,,,,,0,0,1.6806304E7,2.4598462E7,1.9326792E7,3.478864E7,1.6385528E7,1.900174E7,2.6893324E7,1.3146203E7,3.9333075E8,3.8791885E8,2.952998E8,3.429618E8,4.110137E8,4.4428102E8,0,1.059814E7,1.3184805E7,2.013731E7,4343720.5,1.1473875E7,1.0242845E7,9812998.0,1.1818998E7,0,
69,393.2857719474924,0.525421,,,,,,,,,,,0,0,3.2197434E7,4.3273788E7,3.1932204E7,6.265234E7,2.8642938E7,3.4522948E7,5.0322564E7,2.5159296E7,6.9708365E8,6.856053E8,5.673726E8,6.0426054E8,7.28354E8,7.76217E8,0,1.840894E7,2.2677672E7,3.8661804E7,8028152.5,2.0231466E7,1.9739686E7,1.8352668E7,2.1092834E7,0,
70,283.2813548294223,0.5275666,,,,,,,,,,,1.7870256E8,2.6217077E8,1.4466024E8,1.4896798E8,1.899809E8,1.6960053E8,1.7886059E8,1.6251107E8,1.544352E8,1.6371936E8,9.6950616E7,9.403637E7,9.1136296E7,9.1224344E7,1.1559392E8,1.15107816E8,3.3085843E8,1.8302997E8,1.5151486E8,1.9098682E8,1.5223542E8,1.9156077E8,1.6223126E8,1.7939798E8,1.8535805E8,584982.75,
71,247.24187734464402,0.52595514,,,,,,,,,,,5369306.5,7168172.5,4040026.5,4330517.5,5874026.0,4922572.0,5091912.5,4724491.5,3930058.8,4522266.0,2906139.5,2648162.2,2223151.2,2489315.5,2962594.2,2984727.5,8906962.0,5481782.5,4334172.5,5444254.5,4364885.5,5363059.0,4154972.8,4533448.0,5297704.5,0,
72,751.5102664140536,0.52581805,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.0570114E7,2.267627E7,1.4859195E7,1.8885032E7,2.1671472E7,2.7464372E7,0,0,0,0,0,0,0,0,0,0,
73,561.5354093539886,0.5275666,,,,,,,,,,,3888162.5,5764443.5,2776926.2,3013411.2,3051837.0,2848176.8,3607499.2,2939565.8,2770609.5,3648307.8,1412653.0,1858454.0,1279875.2,1416356.2,1692975.5,0,7132135.0,3211585.2,3129267.8,3278662.5,2861109.2,3234976.2,3379937.2,3358805.0,2965489.8,0,
74,265.25251875518654,0.5283934,,,,,,,,,,,1.8914366E7,2.7002918E7,1.4960721E7,1.6506456E7,2.2230516E7,1.8874202E7,1.948639E7,1.7452294E7,1.6011557E7,1.8088974E7,9854310.0,1.0304509E7,8526906.0,9695690.0,1.0670723E7,1.1558735E7,3.1567204E7,1.9888548E7,1.7404728E7,1.9390666E7,1.7128746E7,2.2113812E7,1.724137E7,1.8372E7,2.0411102E7,0,
75,421.31652217325023,0.5290175,,,,,,,,,,,0,0,0,0,0,1145676.9,0,0,0,0,1.1520071E7,1.1752207E7,1.2494435E7,1.0951953E7,1.0993935E7,1.2667573E7,0,0,0,0,0,0,0,0,0,0,
76,281.1060942390886,0.5324787,,,,,,,,,,,0,0,0,0,1212153.2,2261043.2,2055585.4,0,1996398.4,0,1111595.0,0,0,0,0,0,0,2272213.5,0,0,0,2377446.0,0,0,0,0,
77,419.3007025800716,0.52932566,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5896986.5,5931475.5,5354002.0,5576817.5,6759124.5,7483191.0,0,0,0,0,0,0,0,0,0,0,
78,308.29418533152034,0.53120357,,,,,,,,,,,2840948.8,4206815.0,2509234.2,2658011.2,3340589.5,2906124.8,3006857.2,2801781.0,2792022.2,2770012.0,1612159.5,1392864.4,1431787.8,1587360.1,1846208.8,1798607.4,4756577.5,3148019.5,2492550.2,3135096.0,2831387.2,3311851.5,2671152.8,3014843.0,2970865.5,0,
79,257.26657092181273,0.5320772,,,,,,,,,,,6480009.5,9349536.0,5984373.0,6694757.5,7819327.5,7015559.0,7152622.0,6454026.5,6080847.0,6614192.5,3962826.5,3674187.0,3976633.2,4167247.8,4456390.5,5023243.5,1.2103491E7,7288728.5,5988642.5,7427629.0,6455077.5,8233216.0,6622887.5,6634884.0,6985074.5,0,
80,268.2633987109317,0.53163314,,,,,,,,,,,1.3067719E7,1.8223556E7,1.0899662E7,1.1755852E7,1.4221396E7,1.31133E7,1.2707484E7,1.1669233E7,1.1064322E7,1.2447279E7,6683532.5,6916879.0,6467401.5,6658610.0,7931675.0,8022836.0,2.2530804E7,1.2581614E7,1.089713E7,1.4694851E7,1.1872162E7,1.3924136E7,1.2789408E7,1.2786213E7,1.304201E7,0,
81,264.2402311009937,0.5385514,,,,,,,,,,,3204220.8,4642998.0,3265365.2,3638123.0,3857220.8,3284323.5,3445158.0,3127148.0,3351885.2,3381555.2,2021010.9,1863885.1,1775236.0,2105995.0,2388118.2,2244576.2,5106472.5,3541091.5,3116168.5,3600250.0,3263658.8,4031718.8,3282612.0,2985021.2,2844854.2,0,
82,256.2633041570887,0.53239405,,,,,,,,,,,3.793733E7,5.420043E7,3.5016212E7,3.779772E7,4.610213E7,4.1974344E7,4.047254E7,3.7430384E7,3.6336764E7,3.783758E7,2.2268302E7,2.2863878E7,2.1469772E7,2.3346388E7,2.5543084E7,2.5638446E7,6.999912E7,4.1841116E7,3.589689E7,4.3993028E7,3.800923E7,4.447089E7,3.9475508E7,3.925847E7,4.0719816E7,0,
83,254.24777783838505,0.5331852,,,,,,,,,,,5.457475E7,7.401497E7,4.5875524E7,5.1585424E7,6.0736436E7,5.3713E7,5.431612E7,4.974504E7,4.812376E7,4.9841484E7,2.9109322E7,3.1685376E7,3.1425508E7,3.3148174E7,3.522178E7,3.47667E7,9.206198E7,5.176216E7,4.7343476E7,5.665133E7,5.2582984E7,5.8182936E7,5.337802E7,5.0587708E7,5.1147004E7,0,
84,242.24765106273273,0.53467494,,,,,,,,,,,6725538.0,9443011.0,5932312.5,7085953.5,8318136.5,7149546.0,7410153.5,6565198.5,6301556.0,6889401.5,4338008.5,4139263.0,4336682.5,4102214.5,4722799.5,4788465.0,1.1948583E7,7038647.5,6355149.5,7433783.5,7372651.0,8031147.5,7048493.0,6836470.0,6431216.5,0,
