row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_03_BB_10mM.mzML Peak height,20260424_CVOL_Group_03_IAA_50uM.mzML Peak height,20260424_CVOL_Group_03_Pt_1A_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_1A_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_1B_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_1B_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_2A_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_2A_20m.mzML Peak height,20260424_CVOL_Group_03_Pt_2B_0m.mzML Peak height,20260424_CVOL_Group_03_Pt_2B_20m.mzML Peak height,20260424_CVOL_Group_03_QC_01.mzML Peak height,20260424_CVOL_Group_03_QC_02.mzML Peak height,20260424_CVOL_Group_03_QC_03.mzML Peak height,20260424_CVOL_Group_03_QC_04.mzML Peak height,20260424_CVOL_Group_03_QC_05.mzML Peak height,20260424_CVOL_Group_03_QC_06.mzML Peak height,20260424_CVOL_Group_03_bl.mzML Peak height,20260424_CVOL_Group_03_wt_1A_0m.mzML Peak height,20260424_CVOL_Group_03_wt_1A_20m.mzML Peak height,20260424_CVOL_Group_03_wt_1B_0m.mzML Peak height,20260424_CVOL_Group_03_wt_1B_20m.mzML Peak height,20260424_CVOL_Group_03_wt_2A_0m.mzML Peak height,20260424_CVOL_Group_03_wt_2A_20m.mzML Peak height,20260424_CVOL_Group_03_wt_2B_0m.mzML Peak height,20260424_CVOL_Group_03_wt_2B_20m.mzML Peak height,20260424_CVOL_bk_mapp_05.mzML Peak height,
11,277.0541223941124,0.50070864,,,,,,,,,,,0,0,2.4540822E7,3.1352856E7,2.5555494E7,0,3.2017278E7,2.8321122E7,2.5351666E7,3.102446E7,0,0,7.876811E7,0,0,0,0,1.2767178E7,2.7541182E7,1.0539727E7,2.3326614E7,2.3564794E7,2.99827E7,3.97548E7,2.3231476E7,0,
12,295.06334990189765,0.50088674,,,,,,,,,,,0,0,5577807.0,6194809.0,5238870.0,5412673.0,4692104.5,5166638.0,4519905.0,5004487.5,9641560.0,9660682.0,1.0458325E7,1.1281147E7,1.001973E7,1.0107108E7,0,2033297.2,5205542.5,1640680.2,4782616.5,4346869.0,5925416.5,6469597.5,5370227.5,0,
13,261.07567614454473,0.50089073,,,,,,,,,,,2215574.0,0,4511594.0,4507795.5,3646218.8,4920737.5,3308001.2,4421714.5,3922460.0,4861071.0,1.0940332E7,1.0458687E7,1.0459656E7,1.0672497E7,1.1477438E7,1.3785931E7,0,1766678.8,6264917.5,1486305.1,4033284.0,3664930.0,6724507.0,6814550.0,6414922.0,0,
14,240.10886623897972,0.51247305,,,,,,,,,,,7.087765E7,0,4.6113868E7,4.323144E7,4.3981776E7,4.5800588E7,4.537848E7,4.3700196E7,4.8919292E7,4.5864864E7,5.3116244E7,4.6011784E7,4.4037876E7,4.9298676E7,4.566676E7,5.0223236E7,0,3.2593202E7,4.62073E7,2.941311E7,3.964126E7,4.3368256E7,3.8967896E7,4.666857E7,4.410921E7,0,
15,299.04350713586007,0.5060937,,,,,,,,,,,3996249.0,0,9600721.0,8375128.0,7771977.5,8416288.0,1.0291549E7,8600169.0,8713390.0,1.0522804E7,1.7184096E7,1.5215874E7,1.4910852E7,1.5885806E7,1.5219812E7,1.645944E7,0,5727139.5,9465781.0,4904235.5,7203149.5,0,0,9044383.0,0,0,
16,575.0984084116656,0.504783,,,,,,,,,,,3203982.5,0,5324665.0,0,3190903.0,0,4909425.5,4037789.2,3556183.0,6478228.5,6256760.5,6250721.5,6267628.0,9580509.0,0,7356775.5,0,0,4080066.2,0,0,0,0,4258553.0,0,0,
17,753.2567939488719,0.5349082,,,,,,,,,,,1.5523152E7,0,4818100.0,4732049.0,5115225.0,1564664.5,3642345.0,2925855.5,3366901.8,1653082.6,0,0,1799635.8,0,3073277.0,2277198.0,0,1639689.8,3305114.5,0,1203574.4,0,3551118.8,0,2043388.2,0,
18,230.0695497322511,0.5114904,,,,,,,,,,,0,0,1.7627612E7,3.1400358E7,1.8109962E7,2.1402262E7,1.5562863E7,2.202372E7,2.2440862E7,3.4353824E7,5.1488532E7,4.1694876E7,2.7240582E7,3.6832904E7,4.3629628E7,5.0650824E7,0,8988026.0,2.3122972E7,7159518.0,1.9556384E7,1.5842561E7,1.999626E7,2.2431426E7,2.0739696E7,0,
19,239.10573214782227,0.5129251,,,,,,,,,,,7.5134106E8,0,4.988879E8,5.1271914E8,5.1705146E8,5.2111686E8,5.174614E8,5.0307562E8,5.371933E8,5.206441E8,5.64766E8,5.3240205E8,5.2617763E8,5.372273E8,5.4826374E8,6.2006246E8,0,3.6639872E8,5.2094134E8,3.5426835E8,4.763443E8,4.9140656E8,4.8112598E8,5.5333126E8,4.963E8,0,
20,591.0724090782854,0.5137174,,,,,,,,,,,6.23093E7,0,0,0,6325411.5,0,7034229.5,0,7238553.5,1.2314298E7,1.4536109E7,1.4397927E7,1.5109506E7,0,1.3936613E7,1.574749E7,0,2972457.5,6267020.0,2580948.2,0,6369845.5,6694496.0,7967017.0,6599759.5,0,
21,515.1571265856088,0.5139418,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6714991E7,0,0,0,0,0,0,0,
22,315.0174172184049,0.5134194,,,,,,,,,,,1.1878397E8,0,2.053129E7,1.9308608E7,1.9969954E7,1.7919576E7,2.3315676E7,1.9223396E7,2.104994E7,0,5.053829E7,0,4.147376E7,0,4.07167E7,4.6749892E7,0,0,2.0138982E7,9773587.0,0,0,0,2.3701106E7,0,0,
23,753.2532276197064,0.51669055,,,,,,,,,,,0,0,5993212.0,5419627.5,5346835.5,5646172.5,5927006.0,6076546.0,5756717.0,6437962.5,1.4637511E7,1.1311889E7,1.2714394E7,1.3452162E7,1.2974386E7,1.3989712E7,0,1716471.1,5940999.0,1460856.6,3777955.2,4376273.0,5386754.5,7862330.0,5837492.5,0,
24,261.08775167577386,0.5184865,,,,,,,,,,,5145755.0,0,1.908801E7,1.8273582E7,1.8425522E7,1.8356882E7,1.7517936E7,1.6437006E7,1.9550242E7,1.6262584E7,2.4844788E7,2.5610768E7,2.8794862E7,2.796833E7,2.8297072E7,3.2576576E7,0,1.0924927E7,1.8855868E7,1.0195469E7,1.4127394E7,1.4504156E7,1.4391973E7,1.9720178E7,1.6295218E7,0,
25,278.0651539713569,0.52324027,,,,,,,,,,,3.248092E7,0,1.0871001E7,1.032619E7,1.1743985E7,1.0511312E7,1.1387833E7,1.0018597E7,1.1326487E7,1.0117604E7,1.4642289E7,1.7393352E7,1.9102996E7,1.675957E7,1.8421424E7,2.0393128E7,0,6324445.5,9368329.0,5079526.0,1.0027443E7,1.0617856E7,1.0249629E7,1.2523448E7,1.0931046E7,0,
26,515.1600826145523,0.5239236,,,,,,,,,,,8.2948824E7,0,1.8021928E7,1.4451157E7,1.7356484E7,1.680763E7,1.6157833E7,1.6404232E7,1.7070004E7,1.6243799E7,1.8230762E7,1.9222536E7,2.4966698E7,2.314653E7,2.2065326E7,3.0260822E7,0,7390564.0,1.4760207E7,6240180.5,1.272095E7,1.3161823E7,1.5004419E7,2.2890748E7,1.4364889E7,0,
27,349.1187026008556,0.5201336,,,,,,,,,,,0,0,2.7723938E7,3.135256E7,2.691461E7,3.7141484E7,3.1319718E7,3.2995244E7,2.7220268E7,2.7687014E7,3.488768E7,4.056995E7,4.1928788E7,3.676889E7,4.1696896E7,4.863717E7,0,1.0189889E7,2.9135256E7,9217274.0,2.4624556E7,2.2456848E7,2.8656456E7,4.2404376E7,3.0398746E7,0,
28,791.2119094906146,0.52324927,,,,,,,,,,,8803695.0,0,1951676.5,2092198.4,1770302.4,0,1983253.1,2166159.0,2238462.2,2002876.5,2939106.0,2049389.4,4164130.5,3871854.8,3996268.8,4405964.5,0,793977.56,1838770.5,718339.94,1193232.0,1674175.2,2287952.2,0,1711665.1,0,
29,829.1683628076337,0.52398664,,,,,,,,,,,8729916.0,0,1441466.9,1586443.2,1659996.2,1489215.4,1819318.5,1276224.5,1840334.9,1409375.6,2105005.5,2886595.5,3159912.5,2632965.8,2570962.2,3120053.0,0,674758.0,1743396.2,631443.6,981660.44,1408015.9,1430676.6,2137551.8,1397742.9,0,
30,321.108838409252,0.5237903,,,,,,,,,,,0,0,6.718179E7,8.524145E7,7.27518E7,8.436403E7,6.4707836E7,7.35736E7,7.9683496E7,7.566462E7,7.2837896E7,8.030227E7,8.3977256E7,7.9069576E7,9.530105E7,9.638786E7,0,4.2390724E7,8.823302E7,4.0245268E7,7.959719E7,7.5892456E7,9.042406E7,8.0879784E7,7.598462E7,0,
31,277.061436018176,0.52356035,,,,,,,,,,,3.7691603E8,0,1.3114582E8,1.1982709E8,1.3325959E8,1.1565161E8,1.2913203E8,1.1838642E8,1.395856E8,1.1692942E8,1.7963582E8,2.1822158E8,2.1805144E8,2.1461141E8,2.3563797E8,2.5252096E8,0,7.082519E7,1.2166508E8,6.383039E7,1.00059816E8,1.0533883E8,1.0987874E8,1.4720346E8,1.1414197E8,0,
32,398.97900046560693,0.5251501,,,,,,,,,,,2.9389272E7,0,3675120.5,3442595.8,3734809.8,2705008.0,3467101.2,3409054.8,3840894.0,3043749.0,4932666.5,7156223.0,6967202.5,6133744.0,7018063.5,7249439.5,0,1955120.6,3516460.5,1912627.1,2403725.2,3082505.2,3190635.5,4260897.5,3593726.2,0,
33,202.05972265213478,0.52460027,,,,,,,,,,,0,0,5.619135E7,6.878523E7,5.917946E7,6.814543E7,5.2544212E7,6.138517E7,6.086012E7,6.022465E7,5.09015E7,6.4869996E7,5.642407E7,5.436435E7,5.2517076E7,6.859428E7,0,4.923123E7,7.173255E7,5.024367E7,7.29153E7,5.866693E7,5.2335884E7,6.1261316E7,5.642238E7,0,
34,553.1165200934735,0.5254956,,,,,,,,,,,2.0591534E7,0,4118839.8,3730834.2,4475047.0,3431719.2,4113915.5,3954007.8,4693553.0,4016869.0,6009306.5,7132339.5,7692142.0,7594147.5,7531311.5,8215165.5,0,2215301.8,3842626.0,1984576.2,3040968.8,3415287.5,3752638.8,5571594.0,3744657.2,0,
35,267.0386768586674,0.5163142,,,,,,,,,,,0,0,8924471.0,1.3016824E7,1.0106151E7,1.0064591E7,7997760.5,1.0000619E7,1.0867193E7,1.3505625E7,2.2317194E7,1.3338037E7,1.8802878E7,1.7964684E7,1.3147612E7,2.6797602E7,519199.47,4701358.5,1.2453803E7,5044928.0,9097270.0,6927444.0,8254378.5,1.3058827E7,9276332.0,0,
36,477.20456686473483,0.5259257,,,,,,,,,,,2.015358E8,0,1.0576148E8,1.0963773E8,1.1431596E8,8.730499E7,1.0976672E8,9.915091E7,1.1793868E8,9.6941096E7,7.375307E7,8.918961E7,9.4288136E7,8.110272E7,9.507577E7,1.0813254E8,0,6.771622E7,1.0620182E8,5.8911696E7,8.3517336E7,9.406907E7,8.261693E7,1.1215358E8,9.4307016E7,0,
37,715.3032250297172,0.52631336,,,,,,,,,,,1.0547881E7,0,2665175.8,2605178.2,2754011.8,2224463.0,3439906.8,2726298.8,2919650.8,2497561.2,2004376.5,2846425.2,2880625.2,2565748.5,2928742.2,3289633.2,0,1332048.0,2489346.2,1023665.4,1754608.5,2378836.5,2109539.2,2670231.5,2390277.2,0,
38,675.0337393954175,0.5262066,,,,,,,,,,,9330306.0,0,1055702.0,965461.3,1240639.1,772021.25,1149544.1,1353038.2,1272206.5,1255622.2,1635996.4,2267822.5,2475095.2,1832120.4,2062984.0,2416075.0,0,613672.75,1016747.25,0,785356.4,1008854.2,1290306.9,1604828.2,1248925.6,0,
39,482.94026626716595,0.5275462,,,,,,,,,,,1.1093455E7,0,1269772.6,1200546.4,1425707.9,1165647.8,1442639.5,1336079.5,1566957.1,1136127.0,2000149.1,2657823.0,2973535.5,2283265.0,2466568.5,2830596.0,0,880680.06,1289704.9,770712.8,1423225.1,1392966.1,1281244.5,2045074.8,1473370.4,0,
40,293.09898152456225,0.52743965,,,,,,,,,,,0,0,4.792778E7,5.9116896E7,5.6240612E7,6.4451452E7,4.265155E7,5.2496228E7,5.490472E7,5.5914436E7,3.6465428E7,3.9012544E7,3.959838E7,3.5814548E7,4.2182376E7,4.3180236E7,0,4.6715296E7,6.1047324E7,4.8751428E7,7.462017E7,4.3895184E7,4.7762944E7,5.174211E7,5.3810904E7,0,
41,221.0421120755109,0.52987087,,,,,,,,,,,0,0,1.6663762E8,1.7130312E8,1.7992515E8,1.639152E8,1.517734E8,1.5597306E8,1.6532834E8,1.7491142E8,1.9538018E8,2.1521744E8,2.152003E8,1.9138429E8,2.1640282E8,2.2687211E8,0,1.5759165E8,1.656613E8,1.2585603E8,1.7016027E8,1.4069138E8,1.5318931E8,1.6901786E8,1.6425317E8,0,
42,205.0682260553755,0.53115153,,,,,,,,,,,0,6551193.0,1.5273418E8,1.5423242E8,1.5956587E8,1.3568904E8,1.286289E8,1.2592566E8,1.390791E8,1.3741038E8,1.2531126E8,1.4991306E8,1.4764627E8,1.351576E8,1.5437398E8,1.5888858E8,1.5496059E7,1.4334054E8,1.476618E8,1.3500437E8,1.3285536E8,1.09513304E8,1.034604E8,1.20352696E8,1.1288379E8,0,
43,432.0965818164018,0.53646314,,,,,,,,,,,2.971974E7,0,6042871.5,6092370.5,6240671.0,4247907.0,6015114.0,5674242.5,6103764.0,6414354.0,1.0484357E7,1.2205973E7,1.0539837E7,1.0822963E7,1.3093092E7,1.2929536E7,0,3403999.2,6251215.5,2648463.8,4601055.0,5289282.5,4937061.5,6917677.0,5446002.5,0,
44,140.06810498484415,0.5401929,,,,,,,,,,,7206280.5,848676.1,6.773103E7,6.305618E7,6.697318E7,5.6013036E7,5.4715196E7,5.790522E7,5.684583E7,6.3574212E7,8.464179E7,9.6583384E7,8.419943E7,9.4005864E7,9.835239E7,9.9875896E7,0,4.529239E7,6.892216E7,3.7887532E7,5.40169E7,4.4459236E7,4.9382376E7,5.3380464E7,4.714656E7,0,
45,156.0420312851043,0.54192334,,,,,,,,,,,1.1869184E9,0,5.2557885E8,4.6559635E8,5.4117037E8,4.4606342E8,4.8886275E8,4.924007E8,4.8823133E8,5.411768E8,8.2655456E8,9.791996E8,8.682101E8,9.5908045E8,9.608264E8,9.520383E8,0,3.097444E8,5.3604707E8,2.4534907E8,4.400274E8,4.012571E8,4.627301E8,5.024204E8,4.1980262E8,0,
46,394.1412055751951,0.5423211,,,,,,,,,,,5.3146504E7,0,1.7112268E7,1.5121608E7,1.832536E7,1.3943443E7,1.5720391E7,1.6157777E7,1.5781463E7,1.744821E7,2.4517478E7,3.2753424E7,2.669707E7,2.933971E7,3.0149116E7,3.2378024E7,0,8865484.0,1.6277859E7,6708123.0,1.3048511E7,1.0784737E7,1.4845355E7,1.6414452E7,1.3434444E7,0,
47,549.1755443829561,0.5423171,,,,,,,,,,,3.5754976E7,0,7116140.0,5663424.0,7293800.0,5339518.0,6802465.5,6618777.5,5536394.0,7214890.5,9143986.0,1.1488099E7,1.0228571E7,1.1573302E7,1.2298294E7,1.1448774E7,0,3630980.8,6866777.5,2703246.2,4679581.5,4870896.0,6329832.0,7221402.0,5266796.0,0,
48,257.14694498614773,0.54388404,,,,,,,,,,,1.9178338E7,0,2.4737048E8,2.1169941E8,2.547098E8,2.0387834E8,2.0598362E8,2.1501686E8,1.970801E8,2.1792272E8,2.9331354E8,3.327479E8,3.248204E8,3.6607126E8,3.3700387E8,3.2802358E8,0,1.578873E8,2.514595E8,1.278756E8,1.9217045E8,1.3737026E8,1.8885626E8,1.8184741E8,1.4562029E8,0,
49,273.120884275309,0.54506004,,,,,,,,,,,1.2391196E9,0,5.967647E8,5.5128826E8,6.470445E8,4.9743997E8,5.218769E8,5.491313E8,5.288612E8,5.90843E8,9.0508256E8,1.0626391E9,1.03941075E9,1.1204379E9,1.01756563E9,1.0451734E9,0,3.4939696E8,6.085211E8,2.6613142E8,4.7965642E8,4.0197366E8,5.6598054E8,5.7989075E8,4.2955843E8,0,
50,474.16121560062265,0.5462364,,,,,,,,,,,3.1844664E7,0,1974773.8,1763702.9,2285842.5,1931647.0,2035201.9,1934876.2,1923233.8,2132668.5,2831589.0,3237853.8,3511025.5,3866689.0,3407814.0,2984717.5,0,1631135.0,2279857.8,1056269.0,1823380.1,1757142.9,2342619.0,2233932.8,1974255.9,0,
51,206.07152443553295,0.5296053,,,,,,,,,,,0,427423.28,1.1322949E7,9696373.0,1.146911E7,1.0638881E7,9366633.0,8916695.0,9244006.0,9241044.0,8006749.0,1.0250506E7,1.1308473E7,1.0307177E7,1.0760432E7,1.1576227E7,1100611.9,9680679.0,1.0812827E7,9541260.0,1.0230082E7,6708372.0,6748482.5,7722872.0,8091264.5,0,
52,666.2544956911591,0.55252844,,,,,,,,,,,2.818513E7,0,6249667.0,6080451.0,6576618.0,5473350.0,6528269.0,5953419.0,4871551.0,5965359.5,6903121.5,8189333.5,1.0463601E7,1.059109E7,8520805.0,7754130.0,0,2691179.2,6409995.5,2755903.0,4679451.0,4121846.2,6556897.5,6168957.5,4395770.5,0,
53,783.3336452327158,0.55339384,,,,,,,,,,,1.2727276E7,0,3230032.2,2893524.5,3265071.2,3137562.8,3262656.5,3025855.2,2444976.2,0,3502737.0,3767872.5,4611002.0,4721966.0,4396140.5,3722109.0,0,1163023.5,3107665.8,1330489.0,2043803.1,2255274.2,3294011.2,2767837.8,0,0,
54,390.1996578048822,0.5580077,,,,,,,,,,,1.0898653E8,0,2.0038106E7,2.0916852E7,1.8494256E7,1.7304468E7,1.960157E7,1.9145252E7,1.5616288E7,1.728949E7,2.5299788E7,2.2242522E7,2.9310542E7,3.3482E7,2.7051518E7,2.6266714E7,0,9957364.0,2.0370242E7,1.0730586E7,1.4876994E7,1.7345216E7,2.0974146E7,2.0863822E7,1.5487049E7,0,
55,491.3049342563322,0.559168,,,,,,,,,,,7067624.5,0,2.732731E7,2.8304504E7,2.4798182E7,2.360807E7,2.4007422E7,2.387379E7,2.0639784E7,2.077678E7,2.5302278E7,2.2496876E7,3.1993404E7,3.452295E7,2.8926688E7,2.8205076E7,0,1.5926186E7,2.6963486E7,1.8813174E7,2.0011834E7,2.1539822E7,2.7169856E7,2.2710068E7,1.9076172E7,0,
56,507.2790334811397,0.55995584,,,,,,,,,,,4.1762227E8,0,7.515187E7,7.897683E7,6.954055E7,6.715456E7,7.5395064E7,7.16577E7,6.2491212E7,6.6231264E7,9.040701E7,8.492013E7,1.1465382E8,1.2473516E8,9.9570824E7,1.0150694E8,0,3.908688E7,7.638071E7,4.2572296E7,5.871451E7,7.147887E7,8.617413E7,8.027998E7,6.1678216E7,0,
57,628.2985786567193,0.5622875,,,,,,,,,,,3.2550294E7,0,7302298.5,7447229.5,7232763.0,6707054.5,7468733.5,7010927.0,5857243.5,6534005.0,8736524.0,8254926.5,1.0695718E7,1.2745932E7,9698554.0,1.0155112E7,0,3321613.8,6785995.5,3760453.5,5413088.5,7228478.0,8128528.0,7593138.5,5543571.5,0,
58,624.357978414742,0.5669619,,,,,,,,,,,2.1023552E7,0,3463150.2,3894471.0,3124297.2,3844883.2,3887955.8,3509412.0,2882057.8,3494290.8,4354060.0,5227544.0,5372767.5,6564780.5,5114267.5,4738180.0,0,2229574.0,3552723.8,2133196.0,3087807.5,4460205.0,3803437.2,4184200.8,3716958.8,0,
59,745.3770285157249,0.56813294,,,,,,,,,,,1.3569808E7,0,2419776.5,3189315.0,2361282.2,2842861.8,2614566.5,2666180.2,2288355.8,2794570.2,3755692.8,3934236.5,3659448.0,5101019.5,3957969.8,4030105.8,0,1487712.5,2653779.8,1628789.0,2556556.0,2981730.0,3047657.2,3299050.8,2549205.5,0,
60,407.9205113879571,0.56994843,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379986.22,0,0,0,0,0,0,0,0,0,
61,741.4369898369997,0.57039803,,,,,,,,,,,8633850.0,0,1410685.4,2189835.0,1507853.1,1863791.2,0,1728120.9,1640730.1,2025677.9,2262892.8,2540051.2,2600374.8,3120858.2,2787910.5,2780550.8,0,1184731.9,1533989.6,1097269.5,1664151.1,1988391.2,2147539.5,2147789.8,1774424.6,0,
62,858.5159059572211,0.57206106,,,,,,,,,,,6964725.0,0,0,1500892.1,1496475.4,1664713.8,1604706.0,1569084.5,1285185.0,1510762.9,1846825.2,2468923.8,2257606.0,2949954.0,2296548.5,2214977.5,0,1115860.0,1602296.9,891660.0,1569580.4,1825409.8,1558337.9,1721018.8,1891445.6,0,
63,356.1846534970509,0.5760627,,,,,,,,,,,1.5064078E7,0,1.1415744E7,1.2283666E7,1.1580932E7,1.1516624E7,1.1037207E7,1.1715383E7,1.1283339E7,1.1585274E7,1.1753015E7,1.1740279E7,1.3001399E7,1.1998355E7,1.3588454E7,1.343041E7,0,8605417.0,1.1648794E7,7959929.5,1.1038595E7,1.1180059E7,1.184516E7,1.1824195E7,1.0697914E7,0,
64,236.06236358903968,0.58774257,,,,,,,,,,,4556501.0,0,3118447.5,0,1766519.8,3512560.5,2364509.5,0,0,0,4310885.5,5271057.5,0,4631430.0,5953571.5,5232264.5,0,0,0,0,0,0,0,0,2844014.5,0,
65,183.08633037381958,0.6243819,,,,,,,,,,,0,629464.94,2.9746574E7,8.523796E7,7.826817E7,4.675484E7,7.515287E7,7.327094E7,6.683185E7,7.949398E7,1.0971471E7,1.0906361E7,9834446.0,6.81962E7,1.35562E7,1.0806354E7,1196860.5,7.604517E7,8.1208424E7,7.168407E7,7.9064904E7,6.4259868E7,7.0065384E7,6.904324E7,6.8253784E7,0,
66,282.0029968815217,0.5311748,,,,,,,,,,,0,304766.8,830744.75,1435663.2,1159305.9,1371838.9,886795.6,1443411.8,1615808.5,1191935.4,413335.3,0,0,0,0,0,626813.3,1986125.5,1457804.0,1948249.6,1414390.6,1501205.9,0,1143403.0,1352872.2,0,
67,234.2728122035558,0.583997,,,,,,,,,,,4734114.0,0,3408743.0,2046695.6,0,3686687.5,2574989.0,0,0,3549013.5,4777366.0,5781494.0,0,4533490.0,6289515.5,5679939.5,0,0,0,0,0,0,0,0,0,0,
68,235.1651458626109,0.5830536,,,,,,,,,,,2.5160748E9,0,1.5396636E9,1.3172205E9,1.3878222E9,1.4375249E9,1.5110276E9,1.3412485E9,1.4825948E9,1.5678305E9,2.0242934E9,1.9769434E9,2.1652877E9,2.1100724E9,2.1869486E9,2.303349E9,0,9.814102E8,1.3726743E9,8.751896E8,1.3370742E9,1.3771034E9,1.4352557E9,1.4847812E9,1.3437423E9,0,
69,132.10193902704515,0.5846235,,,,,,,,,,,4.621642E7,0,2.9348492E7,2.4700716E7,2.623484E7,2.5625342E7,2.6701042E7,2.5102184E7,2.6324658E7,3.051301E7,3.606793E7,3.87199E7,3.607348E7,3.9548156E7,3.7485212E7,3.9726156E7,0,1.9149596E7,2.6770698E7,1.6308473E7,2.5211462E7,2.4077948E7,2.6698288E7,2.7327664E7,2.3742578E7,0,
