"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
2	"C12H36O6Si6"	"[M + H]+"	"C12H37O6Si6+"	"Fatty acids"	0.344	"Monoterpenoids"	0.1	"Halogenated fatty acids"	0.063	"Organometallic compounds"	0.831	"Organometalloid compounds"	0.831	"Organoarsenic compounds"	0.177	"Oxygen-containing organoarsenic compounds"	0.211	"Alkylarsine oxides"	0.509	"Organic compounds; Organometallic compounds; Organometalloid compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Alkylarsine oxides; Chemical entities"	445.12	29	0.491	839408642647429632	839408478012604288	839408478008409984	47	NA	47
2	"C29H48O15"	"[M + H]+"	"C29H49O15+"	"Terpenoids"	0.624	"Monoterpenoids"	0.836	"Secoiridoid monoterpenoids"	0.854	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.981	"Glycosyl compounds"	0.771	"O-glycosyl compounds"	0.825	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	637.304	29	0.491	839408675040040704	839408478151016320	839408478151016320	50	NA	50
3	"C30H58O"	"[M + H3N + H]+"	"C30H62NO+"	"Fatty acids"	0.971	"Fatty esters"	0.788	"Wax monoesters"	0.588	"Lipids and lipid-like molecules"	0.827	"Fatty Acyls"	0.813	NA	NA	NA	NA	"Fatty Acyls"	0.813	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	452.483	29	0.491	839408733504446976	839408477530259328	839408477530259328	37	NA	37
1	"C24H46O"	"[M + H3N + H]+"	"C24H50NO+"	"Fatty acids"	0.951	"Fatty acyls"	0.869	"Fatty alcohols"	0.531	"Lipids and lipid-like molecules"	0.688	"Fatty Acyls"	0.586	NA	NA	NA	NA	"Fatty Acyls"	0.586	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	368.389	30	0.494	839409243619900160	839408478293622656	839408478293622656	53	NA	53
1	"C29H48O15"	"[M + H3N + H]+"	"C29H52NO15+"	"Terpenoids"	0.892	"Monoterpenoids"	0.949	"Secoiridoid monoterpenoids"	0.946	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Carbohydrates and carbohydrate conjugates"	0.988	"Glycosyl compounds"	0.869	"O-glycosyl compounds"	0.892	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	654.332	30	0.495	839409358568996096	839408478197153664	839408478197153664	51	NA	51
1	"C33H38O6"	"[M + H]+"	"C33H39O6+"	"Shikimates and Phenylpropanoids"	0.72	"Lignans"	0.278	"Neolignans"	0.267	"Organic oxygen compounds"	0.999	"Organooxygen compounds"	0.999	"Ethers"	0.786	"Alkyl aryl ethers"	0.534	"Alkyl aryl ethers"	0.534	"Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Ethers; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	531.274	30	0.497	839408625886990208	839408476938862336	839408476938862336	27	NA	27
5	"C20H27NO3Si2"	"[M + H]+"	"C20H28NO3Si2+"	"Alkaloids"	0.371	"Linear polyketides"	0.289	"Simple indole alkaloids"	0.216	"Benzenoids"	0.883	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.883	"Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Acetals; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	386.161	30	0.5	839409096198501632	839408478348148608	839408478348148608	54	NA	54
2	"C25H22N2O5S"	"[M + H3N + H]+"	"C25H26N3O5S+"	"Amino acids and Peptides"	0.41	"Flavonoids"	0.075	"Chalcones"	0.027	"Benzenoids"	0.999	"Benzene and substituted derivatives"	0.985	"Benzenesulfonyl compounds"	0.595	NA	NA	"Benzenesulfonyl compounds"	0.595	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Azacyclic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	480.157	30	0.5	839409362650053888	839408478394285952	839408478394285952	55	NA	55
2	"C55H74N4O5"	"[M + H]+"	"C55H75N4O5+"	"Alkaloids"	0.981	"Tryptophan alkaloids"	0.16	"Pyrrole alkaloids"	0.012	"Organoheterocyclic compounds"	0.999	"Tetrapyrroles and derivatives"	0.998	"Chlorins"	0.518	NA	NA	"Chlorins"	0.518	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Chlorins; Carboxylic acid derivatives; Carboxylic acid esters; Tetrapyrroles and derivatives; Carbonyl compounds; Substituted pyrroles; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	871.573	30	0.5	839409194311661824	839408478444617600	839408478444617600	56	NA	56
1	"C24H37ClO"	"[M + H3N + H]+"	"C24H41ClNO+"	"Fatty acids"	0.715	"Fatty acyls"	0.228	"Halogenated fatty acids"	0.408	"Lipids and lipid-like molecules"	0.792	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.792	"Organic compounds; Lipids and lipid-like molecules; Organohalogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	394.287	31	0.519	839408610632306176	839408480042647552	839408480042647552	89	NA	89
1	"C11H15ClFNO3"	"[M + H3N + H]+"	"C11H19ClFN2O3+"	"Fatty acids"	0.364	"Fatty Acids and Conjugates"	0.262	"Halogenated fatty acids"	0.61	"Lipids and lipid-like molecules"	0.583	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.583	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Alkyl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	281.106	31	0.52	839408648167133824	839408479413501952	839408479413501952	76	NA	76
1	"C25H44O6"	"[M + H3N + H]+"	"C25H48NO6+"	"Terpenoids"	0.696	"Sesquiterpenoids"	0.377	"Dibenzylbutane lignans"	0.195	"Organic oxygen compounds"	1	"Organooxygen compounds"	1	"Ethers"	0.887	"Dialkyl ethers"	0.879	"Polyethylene glycols"	0.685	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Polyethylene glycols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	458.348	31	0.52	839409007111484288	839408478713053056	839408478713053056	62	NA	62
1	"C20H36O"	"[M + H3N + H]+"	"C20H40NO+"	"Fatty acids"	0.993	"Fatty acyls"	0.929	"Fatty alcohols"	0.453	"Lipids and lipid-like molecules"	0.763	"Fatty Acyls"	0.715	NA	NA	NA	NA	"Fatty Acyls"	0.715	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	310.31	31	0.52	839409195129551104	839408478490754944	839408478490754944	57	NA	57
1	"C18H34O"	"[M + H3N + H]+"	"C18H38NO+"	"Fatty acids"	0.992	"Fatty acyls"	0.984	"Fatty alcohols"	0.967	"Lipids and lipid-like molecules"	0.819	"Fatty Acyls"	0.773	"Fatty alcohols"	0.788	"Long-chain fatty alcohols"	0.822	"Long-chain fatty alcohols"	0.822	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Fatty alcohols; Long-chain fatty alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	284.294	31	0.521	839408991424787072	839408478578835328	839408478578835328	59	NA	59
1	"C19H34O"	"[M + H3N + H]+"	"C19H38NO+"	"Fatty acids"	0.999	"Fatty acyls"	0.968	"Fatty alcohols"	0.565	"Lipids and lipid-like molecules"	0.793	"Fatty Acyls"	0.762	NA	NA	NA	NA	"Fatty Acyls"	0.762	"Organic compounds; Lipids and lipid-like molecules; Ketones; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	296.294	31	0.522	839409105170118016	839408478624972672	839408478620778368	60	NA	60
1	"C28H44N4O3"	"[M + H3N + H]+"	"C28H48N5O3+"	"Amino acids and Peptides"	0.205	"Pseudoalkaloids (transamidation)"	0.182	"Pyrimidine nucleosides"	0.035	"Lipids and lipid-like molecules"	0.701	"Fatty Acyls"	0.527	"Fatty amides"	0.548	NA	NA	"Fatty amides"	0.548	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	502.374	31	0.523	839408622346997504	839408478763384704	839408478759190400	63	NA	63
1	"C23H40O5"	"[M + H3N + H]+"	"C23H44NO5+"	"Terpenoids"	0.679	"Sesquiterpenoids"	0.29	"Drimane sesquiterpenoids"	0.102	"Lipids and lipid-like molecules"	0.804	"Fatty Acyls"	0.602	NA	NA	NA	NA	"Fatty Acyls"	0.602	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	414.321	31	0.523	839408693209766272	839408478666915712	839408478666915712	61	NA	61
