row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_03_BB_10mM.mzML Peak area,20260424_CVOL_Group_03_IAA_50uM.mzML Peak area,20260424_CVOL_Group_03_Pt_1A_0m.mzML Peak area,20260424_CVOL_Group_03_Pt_1A_20m.mzML Peak area,20260424_CVOL_Group_03_Pt_1B_0m.mzML Peak area,20260424_CVOL_Group_03_Pt_1B_20m.mzML Peak area,20260424_CVOL_Group_03_Pt_2A_0m.mzML Peak area,20260424_CVOL_Group_03_Pt_2A_20m.mzML Peak area,20260424_CVOL_Group_03_Pt_2B_0m.mzML Peak area,20260424_CVOL_Group_03_Pt_2B_20m.mzML Peak area,20260424_CVOL_Group_03_QC_01.mzML Peak area,20260424_CVOL_Group_03_QC_02.mzML Peak area,20260424_CVOL_Group_03_QC_03.mzML Peak area,20260424_CVOL_Group_03_QC_04.mzML Peak area,20260424_CVOL_Group_03_QC_05.mzML Peak area,20260424_CVOL_Group_03_QC_06.mzML Peak area,20260424_CVOL_Group_03_bl.mzML Peak area,20260424_CVOL_Group_03_wt_1A_0m.mzML Peak area,20260424_CVOL_Group_03_wt_1A_20m.mzML Peak area,20260424_CVOL_Group_03_wt_1B_0m.mzML Peak area,20260424_CVOL_Group_03_wt_1B_20m.mzML Peak area,20260424_CVOL_Group_03_wt_2A_0m.mzML Peak area,20260424_CVOL_Group_03_wt_2A_20m.mzML Peak area,20260424_CVOL_Group_03_wt_2B_0m.mzML Peak area,20260424_CVOL_Group_03_wt_2B_20m.mzML Peak area,20260424_CVOL_bk_mapp_05.mzML Peak area,Unnamed: 39
11,277.0541223941124,0.50070864,height,,,,,,,,,,,0.0,0.0,24540822.0,31352856.0,25555494.0,0.0,32017278.0,28321122.0,25351666.0,31024460.0,0.0,0.0,78768110.0,0.0,0.0,0.0,0.0,12767178.0,27541182.0,10539727.0,23326614.0,23564794.0,29982700.0,39754800.0,23231476.0,0.0,
12,295.06334990189765,0.50088674,height,,,,,,,,,,,0.0,0.0,5577807.0,6194809.0,5238870.0,5412673.0,4692104.5,5166638.0,4519905.0,5004487.5,9641560.0,9660682.0,10458325.0,11281147.0,10019730.0,10107108.0,0.0,2033297.2,5205542.5,1640680.2,4782616.5,4346869.0,5925416.5,6469597.5,5370227.5,0.0,
13,261.0756761445448,0.50089073,height,,,,,,,,,,,2215574.0,0.0,4511594.0,4507795.5,3646218.8,4920737.5,3308001.2,4421714.5,3922460.0,4861071.0,10940332.0,10458687.0,10459656.0,10672497.0,11477438.0,13785931.0,0.0,1766678.8,6264917.5,1486305.1,4033284.0,3664930.0,6724507.0,6814550.0,6414922.0,0.0,
14,240.1088662389797,0.51247305,height,,,,,,,,,,,70877650.0,0.0,46113868.0,43231440.0,43981776.0,45800588.0,45378480.0,43700196.0,48919292.0,45864864.0,53116244.0,46011784.0,44037876.0,49298676.0,45666760.0,50223236.0,0.0,32593202.0,46207300.0,29413110.0,39641260.0,43368256.0,38967896.0,46668570.0,44109210.0,0.0,
15,299.04350713586007,0.5060937,height,,,,,,,,,,,3996249.0,0.0,9600721.0,8375128.0,7771977.5,8416288.0,10291549.0,8600169.0,8713390.0,10522804.0,17184096.0,15215874.0,14910852.0,15885806.0,15219812.0,16459440.0,0.0,5727139.5,9465781.0,4904235.5,7203149.5,0.0,0.0,9044383.0,0.0,0.0,
16,575.0984084116656,0.504783,height,,,,,,,,,,,3203982.5,0.0,5324665.0,0.0,3190903.0,0.0,4909425.5,4037789.2,3556183.0,6478228.5,6256760.5,6250721.5,6267628.0,9580509.0,0.0,7356775.5,0.0,0.0,4080066.2,0.0,0.0,0.0,0.0,4258553.0,0.0,0.0,
17,753.2567939488719,0.5349082,height,,,,,,,,,,,15523152.0,0.0,4818100.0,4732049.0,5115225.0,1564664.5,3642345.0,2925855.5,3366901.8,1653082.6,0.0,0.0,1799635.8,0.0,3073277.0,2277198.0,0.0,1639689.8,3305114.5,0.0,1203574.4,0.0,3551118.8,0.0,2043388.2,0.0,
18,230.0695497322511,0.5114904,height,,,,,,,,,,,0.0,0.0,17627612.0,31400358.0,18109962.0,21402262.0,15562863.0,22023720.0,22440862.0,34353824.0,51488532.0,41694876.0,27240582.0,36832904.0,43629628.0,50650824.0,0.0,8988026.0,23122972.0,7159518.0,19556384.0,15842561.0,19996260.0,22431426.0,20739696.0,0.0,
19,239.10573214782227,0.5129251,height,,,,,,,,,,,751341060.0,0.0,498887900.0,512719140.0,517051460.0,521116860.0,517461400.0,503075620.0,537193300.0,520644100.0,564766000.0,532402050.0,526177630.0,537227300.0,548263740.0,620062460.0,0.0,366398720.0,520941340.0,354268350.0,476344300.0,491406560.0,481125980.0,553331260.0,496300000.0,0.0,
20,591.0724090782854,0.5137174,height,,,,,,,,,,,62309300.0,0.0,0.0,0.0,6325411.5,0.0,7034229.5,0.0,7238553.5,12314298.0,14536109.0,14397927.0,15109506.0,0.0,13936613.0,15747490.0,0.0,2972457.5,6267020.0,2580948.2,0.0,6369845.5,6694496.0,7967017.0,6599759.5,0.0,
21,515.1571265856088,0.5139418,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16714991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,315.0174172184049,0.5134194,height,,,,,,,,,,,118783970.0,0.0,20531290.0,19308608.0,19969954.0,17919576.0,23315676.0,19223396.0,21049940.0,0.0,50538290.0,0.0,41473760.0,0.0,40716700.0,46749892.0,0.0,0.0,20138982.0,9773587.0,0.0,0.0,0.0,23701106.0,0.0,0.0,
23,753.2532276197064,0.51669055,height,,,,,,,,,,,0.0,0.0,5993212.0,5419627.5,5346835.5,5646172.5,5927006.0,6076546.0,5756717.0,6437962.5,14637511.0,11311889.0,12714394.0,13452162.0,12974386.0,13989712.0,0.0,1716471.1,5940999.0,1460856.6,3777955.2,4376273.0,5386754.5,7862330.0,5837492.5,0.0,
24,261.08775167577386,0.5184865,height,,,,,,,,,,,5145755.0,0.0,19088010.0,18273582.0,18425522.0,18356882.0,17517936.0,16437006.0,19550242.0,16262584.0,24844788.0,25610768.0,28794862.0,27968330.0,28297072.0,32576576.0,0.0,10924927.0,18855868.0,10195469.0,14127394.0,14504156.0,14391973.0,19720178.0,16295218.0,0.0,
25,278.0651539713569,0.52324027,height,,,,,,,,,,,32480920.0,0.0,10871001.0,10326190.0,11743985.0,10511312.0,11387833.0,10018597.0,11326487.0,10117604.0,14642289.0,17393352.0,19102996.0,16759570.0,18421424.0,20393128.0,0.0,6324445.5,9368329.0,5079526.0,10027443.0,10617856.0,10249629.0,12523448.0,10931046.0,0.0,
26,515.1600826145523,0.5239236,height,,,,,,,,,,,82948824.0,0.0,18021928.0,14451157.0,17356484.0,16807630.0,16157833.0,16404232.0,17070004.0,16243799.0,18230762.0,19222536.0,24966698.0,23146530.0,22065326.0,30260822.0,0.0,7390564.0,14760207.0,6240180.5,12720950.0,13161823.0,15004419.0,22890748.0,14364889.0,0.0,
27,349.1187026008556,0.5201336,height,,,,,,,,,,,0.0,0.0,27723938.0,31352560.0,26914610.0,37141484.0,31319718.0,32995244.0,27220268.0,27687014.0,34887680.0,40569950.0,41928788.0,36768890.0,41696896.0,48637170.0,0.0,10189889.0,29135256.0,9217274.0,24624556.0,22456848.0,28656456.0,42404376.0,30398746.0,0.0,
28,791.2119094906146,0.52324927,height,,,,,,,,,,,8803695.0,0.0,1951676.5,2092198.4,1770302.4,0.0,1983253.1,2166159.0,2238462.2,2002876.5,2939106.0,2049389.4,4164130.5,3871854.8,3996268.8,4405964.5,0.0,793977.56,1838770.5,718339.94,1193232.0,1674175.2,2287952.2,0.0,1711665.1,0.0,
29,829.1683628076337,0.52398664,height,,,,,,,,,,,8729916.0,0.0,1441466.9,1586443.2,1659996.2,1489215.4,1819318.5,1276224.5,1840334.9,1409375.6,2105005.5,2886595.5,3159912.5,2632965.8,2570962.2,3120053.0,0.0,674758.0,1743396.2,631443.6,981660.44,1408015.9,1430676.6,2137551.8,1397742.9,0.0,
30,321.108838409252,0.5237903,height,,,,,,,,,,,0.0,0.0,67181790.0,85241450.0,72751800.0,84364030.0,64707836.0,73573600.0,79683496.0,75664620.0,72837896.0,80302270.0,83977256.0,79069576.0,95301050.0,96387860.0,0.0,42390724.0,88233020.0,40245268.0,79597190.0,75892456.0,90424060.0,80879784.0,75984620.0,0.0,
31,277.061436018176,0.52356035,height,,,,,,,,,,,376916030.0,0.0,131145820.0,119827090.0,133259590.0,115651610.0,129132030.0,118386420.0,139585600.0,116929420.0,179635820.0,218221580.0,218051440.0,214611410.0,235637970.0,252520960.0,0.0,70825190.0,121665080.0,63830390.0,100059816.0,105338830.0,109878740.0,147203460.0,114141970.0,0.0,
32,398.9790004656069,0.5251501,height,,,,,,,,,,,29389272.0,0.0,3675120.5,3442595.8,3734809.8,2705008.0,3467101.2,3409054.8,3840894.0,3043749.0,4932666.5,7156223.0,6967202.5,6133744.0,7018063.5,7249439.5,0.0,1955120.6,3516460.5,1912627.1,2403725.2,3082505.2,3190635.5,4260897.5,3593726.2,0.0,
33,202.0597226521348,0.52460027,height,,,,,,,,,,,0.0,0.0,56191350.0,68785230.0,59179460.0,68145430.0,52544212.0,61385170.0,60860120.0,60224650.0,50901500.0,64869996.0,56424070.0,54364350.0,52517076.0,68594280.0,0.0,49231230.0,71732550.0,50243670.0,72915300.0,58666930.0,52335884.0,61261316.0,56422380.0,0.0,
34,553.1165200934735,0.5254956,height,,,,,,,,,,,20591534.0,0.0,4118839.8,3730834.2,4475047.0,3431719.2,4113915.5,3954007.8,4693553.0,4016869.0,6009306.5,7132339.5,7692142.0,7594147.5,7531311.5,8215165.5,0.0,2215301.8,3842626.0,1984576.2,3040968.8,3415287.5,3752638.8,5571594.0,3744657.2,0.0,
35,267.0386768586674,0.5163142,height,,,,,,,,,,,0.0,0.0,8924471.0,13016824.0,10106151.0,10064591.0,7997760.5,10000619.0,10867193.0,13505625.0,22317194.0,13338037.0,18802878.0,17964684.0,13147612.0,26797602.0,519199.47,4701358.5,12453803.0,5044928.0,9097270.0,6927444.0,8254378.5,13058827.0,9276332.0,0.0,
36,477.2045668647348,0.5259257,height,,,,,,,,,,,201535800.0,0.0,105761480.0,109637730.0,114315960.0,87304990.0,109766720.0,99150910.0,117938680.0,96941096.0,73753070.0,89189610.0,94288136.0,81102720.0,95075770.0,108132540.0,0.0,67716220.0,106201820.0,58911696.0,83517336.0,94069070.0,82616930.0,112153580.0,94307016.0,0.0,
37,715.3032250297172,0.52631336,height,,,,,,,,,,,10547881.0,0.0,2665175.8,2605178.2,2754011.8,2224463.0,3439906.8,2726298.8,2919650.8,2497561.2,2004376.5,2846425.2,2880625.2,2565748.5,2928742.2,3289633.2,0.0,1332048.0,2489346.2,1023665.4,1754608.5,2378836.5,2109539.2,2670231.5,2390277.2,0.0,
38,675.0337393954175,0.5262066,height,,,,,,,,,,,9330306.0,0.0,1055702.0,965461.3,1240639.1,772021.25,1149544.1,1353038.2,1272206.5,1255622.2,1635996.4,2267822.5,2475095.2,1832120.4,2062984.0,2416075.0,0.0,613672.75,1016747.25,0.0,785356.4,1008854.2,1290306.9,1604828.2,1248925.6,0.0,
39,482.940266267166,0.5275462,height,,,,,,,,,,,11093455.0,0.0,1269772.6,1200546.4,1425707.9,1165647.8,1442639.5,1336079.5,1566957.1,1136127.0,2000149.1,2657823.0,2973535.5,2283265.0,2466568.5,2830596.0,0.0,880680.06,1289704.9,770712.8,1423225.1,1392966.1,1281244.5,2045074.8,1473370.4,0.0,
40,293.09898152456225,0.52743965,height,,,,,,,,,,,0.0,0.0,47927780.0,59116896.0,56240612.0,64451452.0,42651550.0,52496228.0,54904720.0,55914436.0,36465428.0,39012544.0,39598380.0,35814548.0,42182376.0,43180236.0,0.0,46715296.0,61047324.0,48751428.0,74620170.0,43895184.0,47762944.0,51742110.0,53810904.0,0.0,
41,221.0421120755109,0.52987087,height,,,,,,,,,,,0.0,0.0,166637620.0,171303120.0,179925150.0,163915200.0,151773400.0,155973060.0,165328340.0,174911420.0,195380180.0,215217440.0,215200300.0,191384290.0,216402820.0,226872110.0,0.0,157591650.0,165661300.0,125856030.0,170160270.0,140691380.0,153189310.0,169017860.0,164253170.0,0.0,
42,205.0682260553755,0.53115153,height,,,,,,,,,,,0.0,6551193.0,152734180.0,154232420.0,159565870.0,135689040.0,128628900.0,125925660.0,139079100.0,137410380.0,125311260.0,149913060.0,147646270.0,135157600.0,154373980.0,158888580.0,15496059.0,143340540.0,147661800.0,135004370.0,132855360.0,109513304.0,103460400.0,120352696.0,112883790.0,0.0,
43,432.0965818164018,0.53646314,height,,,,,,,,,,,29719740.0,0.0,6042871.5,6092370.5,6240671.0,4247907.0,6015114.0,5674242.5,6103764.0,6414354.0,10484357.0,12205973.0,10539837.0,10822963.0,13093092.0,12929536.0,0.0,3403999.2,6251215.5,2648463.8,4601055.0,5289282.5,4937061.5,6917677.0,5446002.5,0.0,
44,140.06810498484415,0.5401929,height,,,,,,,,,,,7206280.5,848676.1,67731030.0,63056180.0,66973180.0,56013036.0,54715196.0,57905220.0,56845830.0,63574212.0,84641790.0,96583384.0,84199430.0,94005864.0,98352390.0,99875896.0,0.0,45292390.0,68922160.0,37887532.0,54016900.0,44459236.0,49382376.0,53380464.0,47146560.0,0.0,
45,156.0420312851043,0.54192334,height,,,,,,,,,,,1186918400.0,0.0,525578850.0,465596350.0,541170370.0,446063420.0,488862750.0,492400700.0,488231330.0,541176800.0,826554560.0,979199600.0,868210100.0,959080450.0,960826400.0,952038300.0,0.0,309744400.0,536047070.0,245349070.0,440027400.0,401257100.0,462730100.0,502420400.0,419802620.0,0.0,
46,394.1412055751951,0.5423211,height,,,,,,,,,,,53146504.0,0.0,17112268.0,15121608.0,18325360.0,13943443.0,15720391.0,16157777.0,15781463.0,17448210.0,24517478.0,32753424.0,26697070.0,29339710.0,30149116.0,32378024.0,0.0,8865484.0,16277859.0,6708123.0,13048511.0,10784737.0,14845355.0,16414452.0,13434444.0,0.0,
47,549.1755443829561,0.5423171,height,,,,,,,,,,,35754976.0,0.0,7116140.0,5663424.0,7293800.0,5339518.0,6802465.5,6618777.5,5536394.0,7214890.5,9143986.0,11488099.0,10228571.0,11573302.0,12298294.0,11448774.0,0.0,3630980.8,6866777.5,2703246.2,4679581.5,4870896.0,6329832.0,7221402.0,5266796.0,0.0,
48,257.14694498614773,0.54388404,height,,,,,,,,,,,19178338.0,0.0,247370480.0,211699410.0,254709800.0,203878340.0,205983620.0,215016860.0,197080100.0,217922720.0,293313540.0,332747900.0,324820400.0,366071260.0,337003870.0,328023580.0,0.0,157887300.0,251459500.0,127875600.0,192170450.0,137370260.0,188856260.0,181847410.0,145620290.0,0.0,
49,273.120884275309,0.54506004,height,,,,,,,,,,,1239119600.0,0.0,596764700.0,551288260.0,647044500.0,497439970.0,521876900.0,549131300.0,528861200.0,590843000.0,905082560.0,1062639100.0,1039410750.0,1120437900.0,1017565630.0,1045173400.0,0.0,349396960.0,608521100.0,266131420.0,479656420.0,401973660.0,565980540.0,579890750.0,429558430.0,0.0,
50,474.16121560062265,0.5462364,height,,,,,,,,,,,31844664.0,0.0,1974773.8,1763702.9,2285842.5,1931647.0,2035201.9,1934876.2,1923233.8,2132668.5,2831589.0,3237853.8,3511025.5,3866689.0,3407814.0,2984717.5,0.0,1631135.0,2279857.8,1056269.0,1823380.1,1757142.9,2342619.0,2233932.8,1974255.9,0.0,
51,206.07152443553292,0.5296053,height,,,,,,,,,,,0.0,427423.28,11322949.0,9696373.0,11469110.0,10638881.0,9366633.0,8916695.0,9244006.0,9241044.0,8006749.0,10250506.0,11308473.0,10307177.0,10760432.0,11576227.0,1100611.9,9680679.0,10812827.0,9541260.0,10230082.0,6708372.0,6748482.5,7722872.0,8091264.5,0.0,
52,666.2544956911591,0.55252844,height,,,,,,,,,,,28185130.0,0.0,6249667.0,6080451.0,6576618.0,5473350.0,6528269.0,5953419.0,4871551.0,5965359.5,6903121.5,8189333.5,10463601.0,10591090.0,8520805.0,7754130.0,0.0,2691179.2,6409995.5,2755903.0,4679451.0,4121846.2,6556897.5,6168957.5,4395770.5,0.0,
53,783.3336452327158,0.55339384,height,,,,,,,,,,,12727276.0,0.0,3230032.2,2893524.5,3265071.2,3137562.8,3262656.5,3025855.2,2444976.2,0.0,3502737.0,3767872.5,4611002.0,4721966.0,4396140.5,3722109.0,0.0,1163023.5,3107665.8,1330489.0,2043803.1,2255274.2,3294011.2,2767837.8,0.0,0.0,
54,390.1996578048822,0.5580077,height,,,,,,,,,,,108986530.0,0.0,20038106.0,20916852.0,18494256.0,17304468.0,19601570.0,19145252.0,15616288.0,17289490.0,25299788.0,22242522.0,29310542.0,33482000.0,27051518.0,26266714.0,0.0,9957364.0,20370242.0,10730586.0,14876994.0,17345216.0,20974146.0,20863822.0,15487049.0,0.0,
55,491.3049342563322,0.559168,height,,,,,,,,,,,7067624.5,0.0,27327310.0,28304504.0,24798182.0,23608070.0,24007422.0,23873790.0,20639784.0,20776780.0,25302278.0,22496876.0,31993404.0,34522950.0,28926688.0,28205076.0,0.0,15926186.0,26963486.0,18813174.0,20011834.0,21539822.0,27169856.0,22710068.0,19076172.0,0.0,
56,507.2790334811397,0.55995584,height,,,,,,,,,,,417622270.0,0.0,75151870.0,78976830.0,69540550.0,67154560.0,75395064.0,71657700.0,62491212.0,66231264.0,90407010.0,84920130.0,114653820.0,124735160.0,99570824.0,101506940.0,0.0,39086880.0,76380710.0,42572296.0,58714510.0,71478870.0,86174130.0,80279980.0,61678216.0,0.0,
57,628.2985786567193,0.5622875,height,,,,,,,,,,,32550294.0,0.0,7302298.5,7447229.5,7232763.0,6707054.5,7468733.5,7010927.0,5857243.5,6534005.0,8736524.0,8254926.5,10695718.0,12745932.0,9698554.0,10155112.0,0.0,3321613.8,6785995.5,3760453.5,5413088.5,7228478.0,8128528.0,7593138.5,5543571.5,0.0,
58,624.357978414742,0.5669619,height,,,,,,,,,,,21023552.0,0.0,3463150.2,3894471.0,3124297.2,3844883.2,3887955.8,3509412.0,2882057.8,3494290.8,4354060.0,5227544.0,5372767.5,6564780.5,5114267.5,4738180.0,0.0,2229574.0,3552723.8,2133196.0,3087807.5,4460205.0,3803437.2,4184200.8,3716958.8,0.0,
59,745.3770285157249,0.56813294,height,,,,,,,,,,,13569808.0,0.0,2419776.5,3189315.0,2361282.2,2842861.8,2614566.5,2666180.2,2288355.8,2794570.2,3755692.8,3934236.5,3659448.0,5101019.5,3957969.8,4030105.8,0.0,1487712.5,2653779.8,1628789.0,2556556.0,2981730.0,3047657.2,3299050.8,2549205.5,0.0,
60,407.9205113879571,0.56994843,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379986.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,741.4369898369997,0.57039803,height,,,,,,,,,,,8633850.0,0.0,1410685.4,2189835.0,1507853.1,1863791.2,0.0,1728120.9,1640730.1,2025677.9,2262892.8,2540051.2,2600374.8,3120858.2,2787910.5,2780550.8,0.0,1184731.9,1533989.6,1097269.5,1664151.1,1988391.2,2147539.5,2147789.8,1774424.6,0.0,
62,858.5159059572211,0.57206106,height,,,,,,,,,,,6964725.0,0.0,0.0,1500892.1,1496475.4,1664713.8,1604706.0,1569084.5,1285185.0,1510762.9,1846825.2,2468923.8,2257606.0,2949954.0,2296548.5,2214977.5,0.0,1115860.0,1602296.9,891660.0,1569580.4,1825409.8,1558337.9,1721018.8,1891445.6,0.0,
63,356.1846534970509,0.5760627,height,,,,,,,,,,,15064078.0,0.0,11415744.0,12283666.0,11580932.0,11516624.0,11037207.0,11715383.0,11283339.0,11585274.0,11753015.0,11740279.0,13001399.0,11998355.0,13588454.0,13430410.0,0.0,8605417.0,11648794.0,7959929.5,11038595.0,11180059.0,11845160.0,11824195.0,10697914.0,0.0,
64,236.06236358903968,0.58774257,height,,,,,,,,,,,4556501.0,0.0,3118447.5,0.0,1766519.8,3512560.5,2364509.5,0.0,0.0,0.0,4310885.5,5271057.5,0.0,4631430.0,5953571.5,5232264.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2844014.5,0.0,
65,183.0863303738196,0.6243819,height,,,,,,,,,,,0.0,629464.94,29746574.0,85237960.0,78268170.0,46754840.0,75152870.0,73270940.0,66831850.0,79493980.0,10971471.0,10906361.0,9834446.0,68196200.0,13556200.0,10806354.0,1196860.5,76045170.0,81208424.0,71684070.0,79064904.0,64259868.0,70065384.0,69043240.0,68253784.0,0.0,
66,282.0029968815217,0.5311748,height,,,,,,,,,,,0.0,304766.8,830744.75,1435663.2,1159305.9,1371838.9,886795.6,1443411.8,1615808.5,1191935.4,413335.3,0.0,0.0,0.0,0.0,0.0,626813.3,1986125.5,1457804.0,1948249.6,1414390.6,1501205.9,0.0,1143403.0,1352872.2,0.0,
67,234.2728122035558,0.583997,height,,,,,,,,,,,4734114.0,0.0,3408743.0,2046695.6,0.0,3686687.5,2574989.0,0.0,0.0,3549013.5,4777366.0,5781494.0,0.0,4533490.0,6289515.5,5679939.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,235.1651458626109,0.5830536,height,,,,,,,,,,,2516074800.0,0.0,1539663600.0,1317220500.0,1387822200.0,1437524900.0,1511027600.0,1341248500.0,1482594800.0,1567830500.0,2024293400.0,1976943400.0,2165287700.0,2110072400.0,2186948600.0,2303349000.0,0.0,981410200.0,1372674300.0,875189600.0,1337074200.0,1377103400.0,1435255700.0,1484781200.0,1343742300.0,0.0,
69,132.10193902704515,0.5846235,height,,,,,,,,,,,46216420.0,0.0,29348492.0,24700716.0,26234840.0,25625342.0,26701042.0,25102184.0,26324658.0,30513010.0,36067930.0,38719900.0,36073480.0,39548156.0,37485212.0,39726156.0,0.0,19149596.0,26770698.0,16308473.0,25211462.0,24077948.0,26698288.0,27327664.0,23742578.0,0.0,
70,352.2439175540147,0.58540773,height,,,,,,,,,,,497621470.0,0.0,103048900.0,77684520.0,91243336.0,88282970.0,102038456.0,86700820.0,105202660.0,107810560.0,152896020.0,146472260.0,163505460.0,145196270.0,165051060.0,175149420.0,0.0,59909744.0,82593410.0,51398400.0,83508820.0,104137176.0,114266360.0,116730320.0,93731200.0,0.0,
71,176.0916141666778,0.586208,height,,,,,,,,,,,6723111.0,0.0,3803013.0,3423782.8,3596051.8,3730496.0,3959679.5,3736840.2,3445016.0,4093417.5,5270713.0,5344475.0,5278849.0,5598316.5,5183288.5,5609453.0,0.0,2801217.0,3595367.5,2324460.8,4025081.2,3816498.8,3533136.2,3779366.5,3407535.2,0.0,
